/* DATA DESCRIPTION:
Citation:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (2021): Early meteorological records from BABADA1 (1928-1955), Extremadura region, SW Iberia. PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.926358 (dataset in review), 
	In: Vaquero, JM et al. (2020): Early meteorological records from Extremadura region, SW Iberia (CliPastExtrem). PANGAEA, https://doi.pangaea.de/10.1594/PANGAEA.925807 (dataset in review)
Related to:	Vaquero, José Manuel; Bravo-Paredes, Nieves; Obregón, María Angeles; Sánchez-Carrasco, Víctor Manuel; Valente, Maria Antónia; Trigo, Ricardo M; Domínguez-Castro, Fernando; Montero-Martín, Javier; Vaquero-Martínez, Javier; Antón, Manuel; García, José Agustín; Gallego, María Cruz (in prep.): Recovery of early meteorological records from Extremadura region (SW Iberia): the "CliPastExtrem" (v1.0) database.
Coverage:	LATITUDE: 38.900000 * LONGITUDE: -6.962500
	DATE/TIME START: 1928-09-01T00:00:00 * DATE/TIME END: 1955-12-31T00:00:00
Event(s):	BABADA1 * LATITUDE: 38.900000 * LONGITUDE: -6.962500 * LOCATION: Badajoz, Spain * METHOD/DEVICE: Weather station/meteorological observation (WST)
Parameter(s):	DATE/TIME (Date/Time) * GEOCODE * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 7am
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 1pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: at 6pm
	Total cloud amount [tenths] (N) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: mean
	Sunshine duration [min] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509) * COMMENT: calculated from hours and minutes
	Sunshine duration, daily [h/day] (SSD) * PI: Vaquero, José Manuel (https://orcid.org/0000-0002-8754-1509)
Size:	56002 data points
*/
Date/Time	N [tenths] (at 7am)	N [tenths] (at 1pm)	N [tenths] (at 6pm)	N [tenths] (mean)	SSD [min] (calculated from hours and min...)	SSD [h/day]
1934-01-24	0	4	7	3.67	490	8.17
1934-01-25	1	10	10	7.00	160	2.67
1934-01-26	3	9	9	7.00	80	1.33
1934-01-27	6	1	1	2.67	470	7.83
1934-01-28	10	10	9	9.67	80	1.33
1934-01-29	10	10	10	10.00	0	0.00
1934-01-30	10	4	1	5.00	340	5.67
1934-01-31	1	0	0	0.33	550	9.17
1934-02-01	0	0	0	0.00	550	9.17
1934-02-02	0	2	2	1.33	490	8.17
1934-02-03	0	8	8	5.33	250	4.17
1934-02-04	0	0	0	0.00	520	8.67
1934-02-05	1	0	1	0.67	490	8.17
1934-02-06	0	1	0	0.33	530	8.83
1934-02-07	0	0	0	0.00	530	8.83
1934-02-08	0	0	0	0.00	530	8.83
1934-02-09	0	0	0	0.00	540	9.00
1934-02-10	0	0	0	0.00	540	9.00
1934-02-11	0	0	0	0.00	540	9.00
1934-02-12	0	0	3	1.00	500	8.33
1934-02-13	9	10	10	9.67	0	0.00
1934-02-14	10	5	4	6.33	70	1.17
1934-02-15	0	0	0	0.00	600	10.00
1934-02-16	1	4	5	3.33	550	9.17
1934-02-17	2	0	1	1.00	560	9.33
1934-02-18	0	0	0	0.00	590	9.83
1934-02-19	0	0	0	0.00	600	10.00
1934-02-20	0	3	6	3.00	530	8.83
1934-02-21	4	1	1	2.00	610	10.17
1934-02-22	7	9	9	8.33	80	1.33
1934-02-23	10	10	10	10.00	50	0.83
1934-02-24	10	10	10	10.00	0	0.00
1934-02-25	9	1	9	6.33	330	5.50
1934-02-26	0	10	5	5.00	250	4.17
1934-02-27	0	9	9	6.00	400	6.67
1934-02-28	0	1	9	3.33	430	7.17
1934-03-01	0	7	7	4.67	410	6.83
1934-03-02	0	0	0	0.00	580	9.67
1934-03-03	0	1	1	0.67	580	9.67
1934-03-04	0	0	0	0.00	570	9.50
1934-03-05	0	2	3	1.67	530	8.83
1934-03-06	0	0	1	0.33	560	9.33
1934-03-07	10	8	6	8.00	480	8.00
1934-03-08	10	10	10	10.00	20	0.33
1934-03-09	10	10	10	10.00	60	1.00
1934-03-10	10	10	3	7.67	260	4.33
1934-03-11	10	10	10	10.00	10	0.17
1934-03-12	10	10	9	9.67	160	2.67
1934-03-13	10	9	8	9.00	450	7.50
1934-03-14	0	4	8	4.00	410	6.83
1934-03-15	10	10	9	9.67	370	6.17
1934-03-16	10	10	10	10.00	130	2.17
1934-03-17	10	10	2	7.33	0	0.00
1934-03-18	0	6	3	3.00	390	6.50
1934-03-19	10	10	10	10.00	30	0.50
1934-03-20	4	9	3	5.33	440	7.33
1934-03-21	0	4	2	2.00	560	9.33
1934-03-22	1	2	9	4.00	500	8.33
1934-03-23	1	8	9	6.00	550	9.17
1934-03-24	4	2	0	2.00	600	10.00
1934-03-25	3	4	3	3.33	520	8.67
1934-03-26	0	0	0	0.00	570	9.50
1934-03-27	0	4	9	4.33	430	7.17
1934-03-28	5	8	9	7.33	420	7.00
1934-03-29	10	10	9	9.67	250	4.17
1934-03-30	10	10	10	10.00	10	0.17
1934-03-31	4	6	5	5.00	400	6.67
1934-04-01	10	10	10	10.00	210	3.50
1934-04-02	0	4	3	2.33	530	8.83
1934-04-03	5	8	9	7.33	500	8.33
1934-04-04	10	6	1	5.67	400	6.67
1934-04-05	9	9	6	8.00	300	5.00
1934-04-06	8	10	10	9.33	10	0.17
1934-04-07	10	8	9	9.00	230	3.83
1934-04-08	1	7	4	4.00	470	7.83
1934-04-09	8	10	10	9.33	10	0.17
1934-04-10	10	6	8	8.00	340	5.67
1934-04-11	10	10	10	10.00	30	0.50
1934-04-12	0	6	4	3.33	570	9.50
1934-04-13	8	8	9	8.33	490	8.17
1934-04-14	9	9	9	9.00	260	4.33
1934-04-15	0	1	1	0.67	570	9.50
1934-04-16	3	9	8	6.67	240	4.00
1934-04-17	0	9	1	3.33	490	8.17
1934-04-18	0	9	9	6.00	270	4.50
1934-04-19	9	7	5	7.00	440	7.33
1934-04-20	1	8	4	4.33	690	11.50
1934-04-21	0	6	3	3.00	730	12.17
1934-04-22	9	9	9	9.00	150	2.50
1934-04-23	3	9	9	7.00	480	8.00
1934-04-24	9	10	10	9.67	10	0.17
1934-04-25	1	9	1	3.67	730	12.17
1934-04-26	7	9	9	8.33	270	4.50
1934-04-27	1	9	7	5.67	590	9.83
1934-04-28	1	8	10	6.33	480	8.00
1934-04-29	0	5	9	4.67	580	9.67
1934-04-30	3	8	10	7.00	460	7.67
1934-05-01	10	10	9	9.67	230	3.83
1934-05-02	1	8	3	4.00	590	9.83
1934-05-03	9	9	5	7.67	450	7.50
1934-05-04	9	9	2	6.67	580	9.67
1934-05-05	9	7	8	8.00	230	3.83
1934-05-06	9	10	10	9.67	10	0.17
1934-05-07	6		1	3.50	590	9.83
1934-05-08	0	1	1	0.67	760	12.67
1934-05-09	0	1	7	2.67	730	12.17
1934-05-10	4	1	4	3.00	810	13.50
1934-05-11	9	9	9	9.00	190	3.17
1934-05-12	9	9	9	9.00	430	7.17
1934-05-13	1	1	9	3.67	580	9.67
1934-05-14	5	4	7	5.33	650	10.83
1934-05-15	2	10	10	7.33	420	7.00
1934-05-16	10	10	9	9.67	120	2.00
1934-05-17	10	9	1	6.67	540	9.00
1934-05-18	2	9	9	6.67	310	5.17
1934-05-19	1	5	1	2.33	730	12.17
1934-05-20	0	1	1	0.67	810	13.50
1934-05-21	3	4	0	2.33	800	13.33
1934-05-22	0	0	0	0.00	820	13.67
1934-05-23	0	0	0	0.00	820	13.67
1934-05-24	0	0	1	0.33	770	12.83
1934-05-25	5	1	8	4.67	750	12.50
1934-05-26	1	0	0	0.33	800	13.33
1934-05-27	0	1	4	1.67	760	12.67
1934-05-28	1	1	4	2.00	710	11.83
1934-05-29	6	4	1	3.67	640	10.67
1934-05-30	2	4	2	2.67	700	11.67
1934-05-31	10	6	1	5.67	470	7.83
1934-06-01	0	0	2	0.67	810	13.50
1934-06-02	2	3	3	2.67	660	11.00
1934-06-03	9	7	5	7.00	470	7.83
1934-06-04	9	10	10	9.67	30	0.50
1934-06-05	10	10	9	9.67	140	2.33
1934-06-06	8	7	9	8.00	500	8.33
1934-06-07	0	3	4	2.33	780	13.00
1934-06-08	0	3	2	1.67	780	13.00
1934-06-09	4	2	3	3.00	720	12.00
1934-06-10	8	4	9	7.00	390	6.50
1934-06-11	2	8	3	4.33	680	11.33
1934-06-12	0	0	0	0.00	840	14.00
1934-06-13	2	9	1	4.00	640	10.67
1934-06-14	0	1	8	3.00	710	11.83
1934-06-15	0	2	3	1.67	790	13.17
1934-06-16	0	1	8	3.00	610	10.17
1934-06-17	5	4	7	5.33	610	10.17
1934-06-18	0	0	1	0.33	810	13.50
1934-06-19	0	2	8	3.33	690	11.50
1934-06-20	4	1	0	1.67	810	13.50
1934-06-21	1	1	0	0.67	870	14.50
1934-06-22	8	9	9	8.67	230	3.83
1934-06-23	3	8	8	6.33	440	7.33
1934-06-24	2	4	3	3.00	750	12.50
1934-06-25	0	0	0	0.00	860	14.33
1934-06-26	0	0	0	0.00	860	14.33
1934-06-27	0	0	1	0.33	810	13.50
1934-06-28	1	0	0	0.33	800	13.33
1934-06-29	1	1	0	0.67	830	13.83
1934-06-30	0	0	0	0.00	830	13.83
1934-07-01	0	0	0	0.00	820	13.67
1934-07-02	0	1	2	1.00	780	13.00
1934-07-03	0	1	2	1.00	760	12.67
1934-07-04	3	1	0	1.33	770	12.83
1934-07-05	1	0	0	0.33	810	13.50
1934-07-06	0	5	1	2.00	760	12.67
1934-07-07	4	7	7	6.00	420	7.00
1934-07-08	9	0	1	3.33	670	11.17
1934-07-09	0	0	0	0.00	830	13.83
1934-07-10	0	1	0	0.33	830	13.83
1934-07-11	1	3	8	4.00	770	12.83
1934-07-12	0	0	0	0.00	820	13.67
1934-07-13	0	0	0	0.00	810	13.50
1934-07-14	0	1	0	0.33	840	14.00
1934-07-15	0	0	0	0.00	830	13.83
1934-07-16	0	0	0	0.00	790	13.17
1934-07-17	0	0	0	0.00	770	12.83
1934-07-18	0	0	0	0.00	740	12.33
1934-07-19	0	0	0	0.00	770	12.83
1934-07-20	8	0	0	2.67	730	12.17
1934-07-21	6	4	0	3.33	490	8.17
1934-07-22	1	9	0	3.33	630	10.50
1934-07-23	0	1	0	0.33	820	13.67
1934-07-24	0	0	3	1.00	750	12.50
1934-07-25	0	1	0	0.33	800	13.33
1934-07-26	4	7	1	4.00	540	9.00
1934-07-27	1	8	7	5.33	370	6.17
1934-07-28	3	10	10	7.67	20	0.33
1934-07-29	0	1	0	0.33	770	12.83
1934-07-30	0	1	1	0.67	780	13.00
1934-07-31	5	0	0	1.67	770	12.83
1934-08-01	0	0	0	0.00	820	13.67
1934-08-02	10	6	5	7.00	520	8.67
1934-08-03	1	0	0	0.33	790	13.17
1934-08-04	0	0	0	0.00	810	13.50
1934-08-05	0	0	0	0.00	800	13.33
1934-08-06	0	6	0	2.00	770	12.83
1934-08-07	1	8	5	4.67	530	8.83
1934-08-08	0	5	0	1.67	790	13.17
1934-08-09	0	0	0	0.00	750	12.50
1934-08-10	0	0	0	0.00	780	13.00
1934-08-11	0	0	0	0.00	770	12.83
1934-08-12	0	0	0	0.00	770	12.83
1934-08-13	0	0	0	0.00	760	12.67
1934-08-14	0	0	0	0.00	760	12.67
1934-08-15	0	1	0	0.33	750	12.50
1934-08-16	7	4	3	4.67	600	10.00
1934-08-17	9	9	1	6.33	450	7.50
1934-08-18	3	9	6	6.00	510	8.50
1934-08-19	0	1	1	0.67	710	11.83
1934-08-20	1	1	3	1.67	690	11.50
1934-08-21	0	0	0	0.00	760	12.67
1934-08-22	0	1	5	2.00	770	12.83
1934-08-23	4	1	1	2.00	700	11.67
1934-08-24	8	1	0	3.00	730	12.17
1934-08-25	8	5	4	5.67	580	9.67
1934-08-26	2	0	0	0.67	740	12.33
1934-08-27	0	0	0	0.00	750	12.50
1934-08-28	1	1	3	1.67	640	10.67
1934-08-29	0	1	1	0.67	750	12.50
1934-08-30	4	2	5	3.67	620	10.33
1934-08-31	9	9	6	8.00	480	8.00
1934-09-01	10	9	6	8.33	330	5.50
1934-09-02	1	3	0	1.33	620	10.33
1934-09-03	10	2	2	4.67	560	9.33
1934-09-04	0	4	3	2.33	580	9.67
1934-09-05	0	0	0	0.00	600	10.00
1934-09-06	0	0	0	0.00	600	10.00
1934-09-07	0	0	0	0.00	600	10.00
1934-09-08	1	2	1	1.33	600	10.00
1934-09-09	1	1	0	0.67	620	10.33
1934-09-10	0	7	3	3.33	590	9.83
1934-09-11	1	1	1	1.00	570	9.50
1934-09-12	0	7	4	3.67	450	7.50
1934-09-13	8	9	6	7.67	130	2.17
1934-09-14	10	6	2	6.00	390	6.50
1934-09-15	4	9	6	6.33	300	5.00
1934-09-16	1	0	1	0.67	570	9.50
1934-09-17	3	1	0	1.33	550	9.17
1934-09-18	6	9	9	8.00	70	1.17
1934-09-19	7	0	0	2.33	530	8.83
1934-09-20	0	0	3	1.00	560	9.33
1934-09-21	0	0	1	0.33	580	9.67
1934-09-22	0	0	0	0.00	570	9.50
1934-09-23	8	1	1	3.33	560	9.33
1934-09-24	8	8	7	7.67	520	8.67
1934-09-25	0	1	0	0.33	570	9.50
1934-09-26	0	0	0	0.00	570	9.50
1934-09-27	0	1	9	3.33	390	6.50
1934-09-28	0	0	1	0.33	470	7.83
1934-09-29	4	3	2	3.00	520	8.67
1934-09-30	1	0	4	1.67	520	8.67
1934-10-01	0	0	0	0.00	520	8.67
1934-10-02	5	9	9	7.67	120	2.00
1934-10-03	9	4	9	7.33	310	5.17
1934-10-04	9	9	3	7.00	300	5.00
1934-10-05	8	8	0	5.33	450	7.50
1934-10-06	8	0	0	2.67	470	7.83
1934-10-07	0	0	0	0.00	570	9.50
1934-10-08	0	0	0	0.00	570	9.50
1934-10-09	8	10	4	7.33	10	0.17
1934-10-10	0	0	1	0.33	560	9.33
1934-10-11	0	0	0	0.00	560	9.33
1934-10-12	0	0	3	1.00	510	8.50
1934-10-13	0	0	0	0.00	550	9.17
1934-10-14	0	0	0	0.00	560	9.33
1934-10-15	0	0	0	0.00	540	9.00
1934-10-16	8	3	0	3.67	510	8.50
1934-10-17	0	0	2	0.67	520	8.67
1934-10-18	1	1	1	1.00	550	9.17
1934-10-19	0	1	1	0.67	540	9.00
1934-10-20	0	0	0	0.00	510	8.50
1934-10-21	0	0	3	1.00	480	8.00
1934-10-22	5	9	9	7.67	90	1.50
1934-10-23	9	6	6	7.00	220	3.67
1934-10-24	0	7	3	3.33	460	7.67
1934-10-25	2	8	9	6.33	310	5.17
1934-10-26	10	10	10	10.00	0	0.00
1934-10-27	10	9	10	9.67	0	0.00
1934-10-28	8	1	1	3.33	280	4.67
1934-10-29	2	4	1	2.33	550	9.17
1934-10-30	9	9	1	6.33	330	5.50
1934-10-31	0	0	1	0.33	540	9.00
1934-11-01	9	9	10	9.33	20	0.33
1934-11-02	10	10	10	10.00	0	0.00
1934-11-03	1	3	3	2.33	550	9.17
1934-11-04	9	10	9	9.33	10	0.17
1934-11-05	10	9	6	8.33	0	0.00
1934-11-06	6	6	6	6.00	360	6.00
1934-11-07	4	1	4	3.00	510	8.50
1934-11-08	4	4	9	5.67	450	7.50
1934-11-09	2	9	4	5.00	230	3.83
1934-11-10	10	9	9	9.33	20	0.33
1934-11-11	0	3	1	1.33	540	9.00
1934-11-12	2	2	3	2.33	490	8.17
1934-11-13	8	9	8	8.33	180	3.00
1934-11-14	6	9	7	7.33	200	3.33
1934-11-15	10	9	2	7.00	320	5.33
1934-11-16	10	1	1	4.00	370	6.17
1934-11-17	5	3	2	3.33	430	7.17
1934-11-18	1	2	1	1.33	500	8.33
1934-11-19	0	1	1	0.67	520	8.67
1934-11-20	0	0	1	0.33	540	9.00
1934-11-21	9	6	7	7.33	140	2.33
1934-11-22	0	0	0	0.00	540	9.00
1934-11-23	0	1	0	0.33	540	9.00
1934-11-24	0	0	0	0.00	530	8.83
1934-11-25	0	0	0	0.00	520	8.67
1934-11-26	0	0	0	0.00	540	9.00
1934-11-27	0	0	0	0.00	540	9.00
1934-11-28	0	0	0	0.00	520	8.67
1934-11-29	0	1	1	0.67	520	8.67
1934-11-30	0	0	1	0.33	520	8.67
1934-12-01	0	1	1	0.67	480	8.00
1934-12-02	9	7	5	7.00	170	2.83
1934-12-03	7	9	9	8.33	80	1.33
1934-12-04	10	10	8	9.33	20	0.33
1934-12-05	10	9	9	9.33	60	1.00
1934-12-06	6	9	8	7.67	10	0.17
1934-12-07	10	9	8	9.00	100	1.67
1934-12-08	10	10	10	10.00	0	0.00
1934-12-09	10	10	9	9.67	0	0.00
1934-12-10	6	9	9	8.00	410	6.83
1934-12-11	10	10	10	10.00	0	0.00
1934-12-12	10	9	10	9.67	70	1.17
1934-12-13	10	10	10	10.00	0	0.00
1934-12-14	10	9	9	9.33	30	0.50
1934-12-15	8	3	1	4.00	420	7.00
1934-12-16	3	9	9	7.00	110	1.83
1934-12-17	10	10	9	9.67	60	1.00
1934-12-18	10	10	1	7.00	20	0.33
1934-12-19	10	9	6	8.33	90	1.50
1934-12-20	8	7	6	7.00	320	5.33
1934-12-21	0	10	10	6.67	0	0.00
1934-12-22	7	9	4	6.67	390	6.50
1934-12-23	9	10	10	9.67	0	0.00
1934-12-24	10	7	10	9.00	180	3.00
1934-12-25	10	10	7	9.00	90	1.50
1934-12-26	10	8	1	6.33	350	5.83
1934-12-27	0	10	10	6.67	80	1.33
1934-12-28	9	9	10	9.33	20	0.33
1934-12-29	0	1	4	1.67	500	8.33
1934-12-30	0	5	4	3.00	380	6.33
1934-12-31	0	5	1	2.00	390	6.50
1935-01-01	0	2	1	1.00	440	7.33
1935-01-02	0	8	2	3.33	490	8.17
1935-01-03	0	1	1	0.67	530	8.83
1935-01-04	0	0	0	0.00	520	8.67
1935-01-05	0	10	0	3.33	240	4.00
1935-01-06	0	0	0	0.00	410	6.83
1935-01-07	10	10	1	7.00	0	0.00
1935-01-08	10	10	10	10.00	0	0.00
1935-01-09	9	10	10	9.67	0	0.00
1935-01-10	1	1	1	1.00	520	8.67
1935-01-11	0	1	0	0.33	530	8.83
1935-01-12	0	8	1	3.00	370	6.17
1935-01-13	0	0	0	0.00	540	9.00
1935-01-14	0	0	0	0.00	530	8.83
1935-01-15	0	0	0	0.00	480	8.00
1935-01-16	0	0	0	0.00	520	8.67
1935-01-17	0	0	1	0.33	540	9.00
1935-01-18	0	1	1	0.67	510	8.50
1935-01-19	0	1	3	1.33	350	5.83
1935-01-20	4	3	4	3.67	340	5.67
1935-01-21	0	0	0	0.00	540	9.00
1935-01-22	0	1	1	0.67	540	9.00
1935-01-23	0	0	1	0.33	530	8.83
1935-01-24	8	1	1	3.33	440	7.33
1935-01-25	0	3	9	4.00	380	6.33
1935-01-26	8	8	1	5.67	360	6.00
1935-01-27	0	1	1	0.67	540	9.00
1935-01-28	0	2	9	3.67	440	7.33
1935-01-29	0	1	1	0.67	510	8.50
1935-01-30	0	1	1	0.67	500	8.33
1935-01-31	0	0	8	2.67	530	8.83
1935-02-01	0	1	1	0.67	550	9.17
1935-02-02	0	1	0	0.33	560	9.33
1935-02-03	0	1	3	1.33	570	9.50
1935-02-04	2	7	6	5.00	520	8.67
1935-02-05	10	10	3	7.67	220	3.67
1935-02-06	10	9	2	7.00	290	4.83
1935-02-07	0	1	3	1.33	530	8.83
1935-02-08	0	2	3	1.67	520	8.67
1935-02-09	10	8	5	7.67	440	7.33
1935-02-10	0	0	0	0.00	530	8.83
1935-02-11	0	1	1	0.67	540	9.00
1935-02-12	0	1	5	2.00	490	8.17
1935-02-13	4	0	0	1.33	550	9.17
1935-02-14	10	1	0	3.67	510	8.50
1935-02-15	1	1	0	0.67	560	9.33
1935-02-16	1	0	0	0.33	590	9.83
1935-02-17	0	1	1	0.67	610	10.17
1935-02-18	3	2	3	2.67	490	8.17
1935-02-19	10	1	8	6.33	300	5.00
1935-02-20	10	10	4	8.00	230	3.83
1935-02-21	10	9	9	9.33	130	2.17
1935-02-22	10	8	8	8.67	330	5.50
1935-02-23	10	10	10	10.00	180	3.00
1935-02-24	0	9	10	6.33	50	0.83
1935-02-25	10	9	5	8.00	220	3.67
1935-02-26	9	8	9	8.67	350	5.83
1935-02-27	9	10	9	9.33	40	0.67
1935-02-28	10	10	10	10.00	10	0.17
1935-03-01	10	10	10	10.00	0	0.00
1935-03-02	0	6	1	2.33	460	7.67
1935-03-03	0	0	0	0.00	610	10.17
1935-03-04	1	1	2	1.33	490	8.17
1935-03-05	3	0	4	2.33	420	7.00
1935-03-06	10	10	10	10.00	0	0.00
1935-03-07	0	0	3	1.00	540	9.00
1935-03-08	1	3	0	1.33	480	8.00
1935-03-09	0	0	1	0.33	590	9.83
1935-03-10	10	9	8	9.00	10	0.17
1935-03-11	0	1	4	1.67	530	8.83
1935-03-12	0	0	0	0.00	610	10.17
1935-03-13	0	5	9	4.67	370	6.17
1935-03-14	9	9	8	8.67	60	1.00
1935-03-15	10	10	9	9.67	0	0.00
1935-03-16	10	7	5	7.33	40	0.67
1935-03-17	0	1	1	0.67	580	9.67
1935-03-18	9	9	9	9.00	80	1.33
1935-03-19	6	9	8	7.67	270	4.50
1935-03-20	9	10	9	9.33	10	0.17
1935-03-21	0	6	1	2.33	440	7.33
1935-03-22	10	2	1	4.33	40	0.67
1935-03-23	0	1	1	0.67	580	9.67
1935-03-24	0	0	0	0.00	620	10.33
1935-03-25	0	0	0	0.00	610	10.17
1935-03-26	0	0	0	0.00	620	10.33
1935-03-27	0	0	0	0.00	620	10.33
1935-03-28	0	0	0	0.00	630	10.50
1935-03-29	0	0	0	0.00	650	10.83
1935-03-30	0	0	0	0.00	660	11.00
1935-03-31	0	0	1	0.33	620	10.33
1935-04-01	0	0	0	0.00	590	9.83
1935-04-02	10	1	1	4.00	510	8.50
1935-04-03	0	8	1	3.00	520	8.67
1935-04-04	0	1	0	0.33	580	9.67
1935-04-05	0	0	0	0.00	620	10.33
1935-04-06	0	1	1	0.67	620	10.33
1935-04-07	0	3	8	3.67	470	7.83
1935-04-08	8	1	1	3.33	580	9.67
1935-04-09	0	0	0	0.00	620	10.33
1935-04-10	0	9	9	6.00	480	8.00
1935-04-11	2	9	9	6.67	280	4.67
1935-04-12	1	9	7	5.67	460	7.67
1935-04-13	7	7	5	6.33	620	10.33
1935-04-14	2	4	8	4.67	550	9.17
1935-04-15	10	7	1	6.00	510	8.50
1935-04-16	8	9	2	6.33	290	4.83
1935-04-17	1	1	2	1.33	610	10.17
1935-04-18	9	7	0	5.33	540	9.00
1935-04-19	0	0	4	1.33	590	9.83
1935-04-20	10	9	4	7.67	310	5.17
1935-04-21	1	9	9	6.33	150	2.50
1935-04-22	1	8	8	5.67	420	7.00
1935-04-23	0	8	4	4.00	660	11.00
1935-04-24	0	8	7	5.00	540	9.00
1935-04-25	3	8	7	6.00	760	12.67
1935-04-26	9	10	10	9.67	10	0.17
1935-04-27	9	9	9	9.00	230	3.83
1935-04-28	9	10	4	7.67	240	4.00
1935-04-29	0	0	0	0.00	790	13.17
1935-04-30	0	1	1	0.67	780	13.00
1935-05-01	1	3	2	2.00	630	10.50
1935-05-02	1	6	7	4.67	730	12.17
1935-05-03	10	9	8	9.00	220	3.67
1935-05-04	10	9	2	7.00	320	5.33
1935-05-05	1	8	6	5.00	530	8.83
1935-05-06	0	2	7	3.00	720	12.00
1935-05-07	8	9	10	9.00	140	2.33
1935-05-08	9	10	9	9.33	0	0.00
1935-05-09	9	9	6	8.00	340	5.67
1935-05-10	6	9	9	8.00	330	5.50
1935-05-11	8	10	4	7.33	460	7.67
1935-05-12	1	6	2	3.00	630	10.50
1935-05-13	10	3	8	7.00	550	9.17
1935-05-14	9	10	9	9.33	370	6.17
1935-05-15	9	9	10	9.33	140	2.33
1935-05-16	9	1	1	3.67	590	9.83
1935-05-17	0	1	1	0.67	800	13.33
1935-05-18	9	9	4	7.33	620	10.33
1935-05-19	0	1	1	0.67	820	13.67
1935-05-20	10	10	10	10.00	10	0.17
1935-05-21	9	10	10	9.67	180	3.00
1935-05-22	7	9	10	8.67	120	2.00
1935-05-23	7	9	8	8.00	370	6.17
1935-05-24	10	10	10	10.00	90	1.50
1935-05-25	0	9	9	6.00	360	6.00
1935-05-26	9	9	9	9.00	440	7.33
1935-05-27	5	4	2	3.67	710	11.83
1935-05-28	0	6	4	3.33	710	11.83
1935-05-29	10	10	10	10.00	60	1.00
1935-05-30	9	9	9	9.00	350	5.83
1935-05-31	8	7	9	8.00	690	11.50
1935-06-01	9	6	9	8.00	450	7.50
1935-06-02	10	10	9	9.67	90	1.50
1935-06-03	5	6	1	4.00	750	12.50
1935-06-04	7	7	5	6.33	630	10.50
1935-06-05	8	8	4	6.67	710	11.83
1935-06-06	0	0	0	0.00	830	13.83
1935-06-07	0	0	0	0.00	830	13.83
1935-06-08	4	8	8	6.67	610	10.17
1935-06-09	2	5	4	3.67	830	13.83
1935-06-10	9	7	6	7.33	530	8.83
1935-06-11	6	1	1	2.67	760	12.67
1935-06-12	0	1	1	0.67	860	14.33
1935-06-13	0	0	1	0.33	870	14.50
1935-06-14	9	9	4	7.33	400	6.67
1935-06-15	2	8	7	5.67	830	13.83
1935-06-16	0	8	2	3.33	840	14.00
1935-06-17	0	0	0	0.00	870	14.50
1935-06-18	0	0	0	0.00	860	14.33
1935-06-19	7	1	1	3.00	790	13.17
1935-06-20	0	1	1	0.67	820	13.67
1935-06-21	1	1	0	0.67	830	13.83
1935-06-22	1	2	4	2.33	670	11.17
1935-06-23	10	5	5	6.67	440	7.33
1935-06-24	10	9	6	8.33	500	8.33
1935-06-25	10	10	9	9.67	30	0.50
1935-06-26	0	6	8	4.67	760	12.67
1935-06-27	9	9	10	9.33	90	1.50
1935-06-28	1	9	10	6.67	180	3.00
1935-06-29	7	7	7	7.00	360	6.00
1935-06-30	0	2	0	0.67	840	14.00
1935-07-01	0	0	0	0.00	850	14.17
1935-07-02	0	0	0	0.00	850	14.17
1935-07-03	0	1	0	0.33	850	14.17
1935-07-04	0	0	0	0.00	860	14.33
1935-07-05	0	0	0	0.00	860	14.33
1935-07-06	0	0	5	1.67	700	11.67
1935-07-07	0	0	0	0.00	600	10.00
1935-07-08	0	0	0	0.00	850	14.17
1935-07-09	0	0	0	0.00	820	13.67
1935-07-10	0	1	0	0.33	820	13.67
1935-07-11	0	1	1	0.67	850	14.17
1935-07-12	1	9	8	6.00	530	8.83
1935-07-13	0	1	1	0.67	830	13.83
1935-07-14	0	1	0	0.33	830	13.83
1935-07-15	0	3	3	2.00	790	13.17
1935-07-16	0	2	1	1.00	790	13.17
1935-07-17	1	0	0	0.33	760	12.67
1935-07-18	1	1	1	1.00	770	12.83
1935-07-19	0	0	0	0.00	810	13.50
1935-07-20	0	0	0	0.00	830	13.83
1935-07-21	0	0	0	0.00	830	13.83
1935-07-22	0	0	1	0.33	810	13.50
1935-07-23	0	1	1	0.67	790	13.17
1935-07-24	1	1	0	0.67	780	13.00
1935-07-25	10	0	0	3.33	610	10.17
1935-07-26	0	0	0	0.00	770	12.83
1935-07-27	0	0	0	0.00	770	12.83
1935-07-28	0	0	0	0.00	770	12.83
1935-07-29	0	0	0	0.00	710	11.83
1935-07-30	1	0	0	0.33	700	11.67
